in s,C1 in V,C2 in V
-9.00000E-01,8.45367E+00,1.50195E+01
-8.99982E-01,8.43414E+00,1.48633E+01
-8.99964E-01,8.59039E+00,1.49805E+01
-8.99946E-01,8.51227E+00,1.47070E+01
-8.99928E-01,8.51227E+00,1.49023E+01
-8.99910E-01,8.53180E+00,1.48633E+01
-8.99892E-01,8.49273E+00,1.46289E+01
-8.99874E-01,8.57086E+00,1.47070E+01
-8.99856E-01,8.55133E+00,1.48242E+01
-8.99838E-01,8.49273E+00,1.47461E+01
-8.99820E-01,8.51227E+00,1.45898E+01
-8.99802E-01,8.51227E+00,1.47070E+01
-8.99784E-01,8.57086E+00,1.47070E+01
-8.99766E-01,8.49273E+00,1.48242E+01
-8.99748E-01,8.51227E+00,1.48633E+01
-8.99730E-01,8.55133E+00,1.46680E+01
-8.99712E-01,8.55133E+00,1.47070E+01
-8.99694E-01,8.53180E+00,1.47070E+01
-8.99676E-01,8.51227E+00,1.49805E+01
-8.99658E-01,8.51227E+00,1.48633E+01
-8.99640E-01,8.51227E+00,1.47070E+01
-8.99622E-01,8.49273E+00,1.46680E+01
-8.99604E-01,8.57086E+00,1.48242E+01
-8.99586E-01,8.47320E+00,1.46680E+01
-8.99568E-01,8.47320E+00,1.46680E+01
-8.99550E-01,8.55133E+00,1.47070E+01
-8.99532E-01,8.57086E+00,1.46680E+01
-8.99514E-01,8.59039E+00,1.46289E+01
-8.99496E-01,8.55133E+00,1.46680E+01
-8.99478E-01,8.55133E+00,1.46289E+01
-8.99460E-01,8.53180E+00,1.48633E+01
-8.99442E-01,8.49273E+00,1.45898E+01
-8.99424E-01,8.51227E+00,1.47852E+01
-8.99406E-01,8.45367E+00,1.47461E+01
-8.99388E-01,8.51227E+00,1.47461E+01
-8.99370E-01,8.47320E+00,1.45898E+01
-8.99352E-01,8.55133E+00,1.47070E+01
-8.99334E-01,8.51227E+00,1.47461E+01
-8.99316E-01,8.57086E+00,1.47852E+01
-8.99298E-01,8.47320E+00,1.48633E+01
-8.99280E-01,8.51227E+00,1.47461E+01
-8.99262E-01,8.49273E+00,1.47461E+01
-8.99244E-01,8.49273E+00,1.47852E+01
-8.99226E-01,8.57086E+00,1.47070E+01
-8.99208E-01,8.47320E+00,1.47852E+01
-8.99190E-01,8.47320E+00,1.47070E+01
-8.99172E-01,8.55133E+00,1.48633E+01
-8.99154E-01,8.51227E+00,1.47461E+01
-8.99136E-01,8.51227E+00,1.46680E+01
-8.99118E-01,8.53180E+00,1.47461E+01
-8.99100E-01,8.51227E+00,1.46289E+01
-8.99082E-01,8.57086E+00,1.47852E+01
-8.99064E-01,8.57086E+00,1.47852E+01
-8.99046E-01,8.45367E+00,1.47070E+01
-8.99028E-01,8.53180E+00,1.46680E+01
-8.99010E-01,8.49273E+00,1.47070E+01
-8.98992E-01,8.51227E+00,1.46289E+01
-8.98974E-01,8.51227E+00,1.48242E+01
-8.98956E-01,8.45367E+00,1.48633E+01
-8.98938E-01,8.51227E+00,1.47070E+01
-8.98920E-01,8.49273E+00,1.47852E+01
-8.98902E-01,8.51227E+00,1.47852E+01
-8.98884E-01,8.43414E+00,1.47070E+01
-8.98866E-01,8.57086E+00,1.47852E+01
-8.98848E-01,8.49273E+00,1.49023E+01
-8.98830E-01,8.49273E+00,1.47852E+01
-8.98812E-01,8.53180E+00,1.48633E+01
-8.98794E-01,8.59039E+00,1.47852E+01
-8.98776E-01,8.57086E+00,1.49023E+01
-8.98758E-01,8.49273E+00,1.47070E+01
-8.98740E-01,8.49273E+00,1.47852E+01
-8.98722E-01,8.45367E+00,1.47852E+01
-8.98704E-01,8.45367E+00,1.48633E+01
-8.98686E-01,8.37555E+00,1.47852E+01
-8.98668E-01,8.43414E+00,1.47461E+01
-8.98650E-01,8.51227E+00,1.48633E+01
-8.98632E-01,8.51227E+00,1.49414E+01
-8.98614E-01,8.43414E+00,1.48633E+01
-8.98596E-01,8.51227E+00,1.48633E+01
-8.98578E-01,8.53180E+00,1.49414E+01
-8.98560E-01,8.51227E+00,1.48633E+01
-8.98542E-01,8.41461E+00,1.49805E+01
-8.98524E-01,8.45367E+00,1.49414E+01
-8.98506E-01,8.51227E+00,1.48633E+01
-8.98488E-01,8.45367E+00,1.49414E+01
-8.98470E-01,8.49273E+00,1.48633E+01
-8.98452E-01,8.51227E+00,1.49414E+01
-8.98434E-01,8.47320E+00,1.49805E+01
-8.98416E-01,8.49273E+00,1.48633E+01
-8.98398E-01,8.41461E+00,1.49023E+01
-8.98380E-01,8.53180E+00,1.49414E+01
-8.98362E-01,8.49273E+00,1.49023E+01
-8.98344E-01,8.53180E+00,1.49805E+01
-8.98326E-01,8.49273E+00,1.49023E+01
-8.98308E-01,8.45367E+00,1.50586E+01
-8.98290E-01,8.43414E+00,1.49023E+01
-8.98272E-01,8.49273E+00,1.50586E+01
-8.98254E-01,8.45367E+00,1.49805E+01
-8.98236E-01,8.51227E+00,1.49805E+01
-8.98218E-01,8.43414E+00,1.50195E+01
-8.98200E-01,8.51227E+00,1.51367E+01
-8.98182E-01,8.43414E+00,1.50586E+01
-8.98164E-01,8.51227E+00,1.49805E+01
-8.98146E-01,8.47320E+00,1.50195E+01
-8.98128E-01,8.49273E+00,1.51367E+01
-8.98110E-01,8.49273E+00,1.50977E+01
-8.98092E-01,8.45367E+00,1.50977E+01
-8.98074E-01,8.43414E+00,1.51367E+01
-8.98056E-01,8.43414E+00,1.51367E+01
-8.98038E-01,8.45367E+00,1.52539E+01
-8.98020E-01,8.47320E+00,1.52148E+01
-8.98002E-01,8.49273E+00,1.51367E+01
-8.97984E-01,8.45367E+00,1.52148E+01
-8.97966E-01,8.47320E+00,1.50977E+01
-8.97948E-01,8.47320E+00,1.52539E+01
-8.97930E-01,8.43414E+00,1.52539E+01
-8.97912E-01,8.39508E+00,1.53320E+01
-8.97894E-01,8.45367E+00,1.51758E+01
-8.97876E-01,8.55133E+00,1.52539E+01
-8.97858E-01,8.49273E+00,1.52148E+01
-8.97840E-01,8.49273E+00,1.52539E+01
-8.97822E-01,8.47320E+00,1.52539E+01
-8.97804E-01,8.47320E+00,1.52930E+01
-8.97786E-01,8.39508E+00,1.53320E+01
-8.97768E-01,8.41461E+00,1.53711E+01
-8.97750E-01,8.45367E+00,1.52539E+01
-8.97732E-01,8.51227E+00,1.52539E+01
-8.97714E-01,8.39508E+00,1.53320E+01
-8.97696E-01,8.47320E+00,1.52148E+01
-8.97678E-01,8.41461E+00,1.52539E+01
-8.97660E-01,8.43414E+00,1.53320E+01
-8.97642E-01,8.37555E+00,1.52930E+01
-8.97624E-01,8.43414E+00,1.54102E+01
-8.97606E-01,8.45367E+00,1.54102E+01
-8.97588E-01,8.51227E+00,1.53711E+01
-8.97570E-01,8.43414E+00,1.54102E+01
-8.97552E-01,8.43414E+00,1.53320E+01
-8.97534E-01,8.45367E+00,1.54492E+01
-8.97516E-01,8.43414E+00,1.54102E+01
-8.97498E-01,8.43414E+00,1.54492E+01
-8.97480E-01,8.39508E+00,1.55273E+01
-8.97462E-01,8.47320E+00,1.54102E+01
-8.97444E-01,8.45367E+00,1.54102E+01
-8.97426E-01,8.37555E+00,1.54883E+01
-8.97408E-01,8.45367E+00,1.54102E+01
-8.97390E-01,8.43414E+00,1.54883E+01
-8.97372E-01,8.49273E+00,1.55273E+01
-8.97354E-01,8.43414E+00,1.54492E+01
-8.97336E-01,8.45367E+00,1.54492E+01
-8.97318E-01,8.49273E+00,1.52930E+01
-8.97300E-01,8.43414E+00,1.54492E+01
-8.97282E-01,8.43414E+00,1.54492E+01
-8.97264E-01,8.47320E+00,1.55273E+01
-8.97246E-01,8.41461E+00,1.54883E+01
-8.97228E-01,8.47320E+00,1.54492E+01
-8.97210E-01,8.41461E+00,1.55664E+01
-8.97192E-01,8.49273E+00,1.55664E+01
-8.97174E-01,8.41461E+00,1.55664E+01
-8.97156E-01,8.47320E+00,1.54883E+01
-8.97138E-01,8.45367E+00,1.55664E+01
-8.97120E-01,8.49273E+00,1.55273E+01
-8.97102E-01,8.43414E+00,1.55664E+01
-8.97084E-01,8.45367E+00,1.54883E+01
-8.97066E-01,8.37555E+00,1.55273E+01
-8.97048E-01,8.43414E+00,1.54883E+01
-8.97030E-01,8.43414E+00,1.56445E+01
-8.97012E-01,8.51227E+00,1.54492E+01
-8.96994E-01,8.41461E+00,1.55273E+01
-8.96976E-01,8.37555E+00,1.55664E+01
-8.96958E-01,8.41461E+00,1.55273E+01
-8.96940E-01,8.39508E+00,1.55273E+01
-8.96922E-01,8.35602E+00,1.55273E+01
-8.96904E-01,8.49273E+00,1.54883E+01
-8.96886E-01,8.37555E+00,1.56836E+01
