in s,C1 in V,C2 in V
-1.8000000E-01,7.67242E+00,1.51367E+01
-1.7999640E-01,7.67242E+00,1.50977E+01
-1.7999280E-01,7.67242E+00,1.49805E+01
-1.7998920E-01,7.69195E+00,1.49805E+01
-1.7998560E-01,7.65289E+00,1.51367E+01
-1.7998200E-01,7.67242E+00,1.51367E+01
-1.7997840E-01,7.69195E+00,1.49414E+01
-1.7997480E-01,7.71148E+00,1.49414E+01
-1.7997120E-01,7.65289E+00,1.50586E+01
-1.7996760E-01,7.57477E+00,1.50195E+01
-1.7996400E-01,7.67242E+00,1.49805E+01
-1.7996040E-01,7.63336E+00,1.50586E+01
-1.7995680E-01,7.61383E+00,1.49414E+01
-1.7995320E-01,7.63336E+00,1.51367E+01
-1.7994960E-01,7.71148E+00,1.50195E+01
-1.7994600E-01,7.71148E+00,1.51367E+01
-1.7994240E-01,7.65289E+00,1.52930E+01
-1.7993880E-01,7.63336E+00,1.48242E+01
-1.7993520E-01,7.73102E+00,1.49414E+01
-1.7993160E-01,7.61383E+00,1.50977E+01
-1.7992800E-01,7.63336E+00,1.50586E+01
-1.7992440E-01,7.71148E+00,1.52539E+01
-1.7992080E-01,7.71148E+00,1.51758E+01
-1.7991720E-01,7.67242E+00,1.50195E+01
-1.7991360E-01,7.65289E+00,1.50977E+01
-1.7991000E-01,7.67242E+00,1.50586E+01
-1.7990640E-01,7.65289E+00,1.51758E+01
-1.7990280E-01,7.71148E+00,1.50195E+01
-1.7989920E-01,7.69195E+00,1.50977E+01
-1.7989560E-01,7.71148E+00,1.51367E+01
-1.7989200E-01,7.71148E+00,1.51367E+01
-1.7988840E-01,7.57477E+00,1.50977E+01
-1.7988480E-01,7.63336E+00,1.52148E+01
-1.7988120E-01,7.69195E+00,1.50977E+01
-1.7987760E-01,7.71148E+00,1.50586E+01
-1.7987400E-01,7.65289E+00,1.51758E+01
-1.7987040E-01,7.75055E+00,1.52539E+01
-1.7986680E-01,7.63336E+00,1.52539E+01
-1.7986320E-01,7.71148E+00,1.51758E+01
-1.7985960E-01,7.67242E+00,1.50195E+01
-1.7985600E-01,7.75055E+00,1.51367E+01
-1.7985240E-01,7.65289E+00,1.51758E+01
-1.7984880E-01,7.65289E+00,1.49023E+01
-1.7984520E-01,7.71148E+00,1.49805E+01
-1.7984160E-01,7.61383E+00,1.50586E+01
-1.7983800E-01,7.65289E+00,1.51367E+01
-1.7983440E-01,7.65289E+00,1.51367E+01
-1.7983080E-01,7.67242E+00,1.51367E+01
-1.7982720E-01,7.69195E+00,1.50195E+01
-1.7982360E-01,7.67242E+00,1.51367E+01
-1.7982000E-01,7.63336E+00,1.50586E+01
-1.7981640E-01,7.67242E+00,1.51758E+01
-1.7981280E-01,7.63336E+00,1.51758E+01
-1.7980920E-01,7.65289E+00,1.51367E+01
-1.7980560E-01,7.73102E+00,1.51367E+01
-1.7980200E-01,7.63336E+00,1.53320E+01
-1.7979840E-01,7.63336E+00,1.52148E+01
-1.7979480E-01,7.71148E+00,1.50195E+01
-1.7979120E-01,7.69195E+00,1.52539E+01
-1.7978760E-01,7.65289E+00,1.52930E+01
-1.7978400E-01,7.65289E+00,1.50586E+01
-1.7978040E-01,7.63336E+00,1.52539E+01
-1.7977680E-01,7.65289E+00,1.51367E+01
-1.7977320E-01,7.63336E+00,1.52930E+01
-1.7976960E-01,7.65289E+00,1.51367E+01
-1.7976600E-01,7.71148E+00,1.52539E+01
-1.7976240E-01,7.73102E+00,1.51367E+01
-1.7975880E-01,7.63336E+00,1.51367E+01
-1.7975520E-01,7.69195E+00,1.51367E+01
-1.7975160E-01,7.61383E+00,1.50977E+01
-1.7974800E-01,7.69195E+00,1.52148E+01
-1.7974440E-01,7.71148E+00,1.52539E+01
-1.7974080E-01,7.71148E+00,1.51758E+01
-1.7973720E-01,7.63336E+00,1.50977E+01
-1.7973360E-01,7.67242E+00,1.50586E+01
-1.7973000E-01,7.69195E+00,1.52539E+01
-1.7972640E-01,7.75055E+00,1.52539E+01
-1.7972280E-01,7.71148E+00,1.52148E+01
-1.7971920E-01,7.71148E+00,1.52539E+01
-1.7971560E-01,7.69195E+00,1.52148E+01
-1.7971200E-01,7.65289E+00,1.52539E+01
-1.7970840E-01,7.67242E+00,1.52930E+01
-1.7970480E-01,7.65289E+00,1.51367E+01
-1.7970120E-01,7.67242E+00,1.51367E+01
-1.7969760E-01,7.65289E+00,1.52539E+01
-1.7969400E-01,7.69195E+00,1.52930E+01
-1.7969040E-01,7.69195E+00,1.51367E+01
-1.7968680E-01,7.63336E+00,1.51367E+01
-1.7968320E-01,7.65289E+00,1.53711E+01
-1.7967960E-01,7.69195E+00,1.52148E+01
-1.7967600E-01,7.67242E+00,1.51367E+01
-1.7967240E-01,7.71148E+00,1.52930E+01
