in s,C1 in V,C2 in V
-8.977140E-02,1.17935E+01,1.46680E+01
-8.976960E-02,1.16959E+01,1.45508E+01
-8.976780E-02,1.16763E+01,1.44336E+01
-8.976600E-02,1.17154E+01,1.43945E+01
-8.976420E-02,1.16568E+01,1.43555E+01
-8.976240E-02,1.17349E+01,1.43945E+01
-8.976060E-02,1.17349E+01,1.44336E+01
-8.975880E-02,1.17349E+01,1.44336E+01
-8.975700E-02,1.16568E+01,1.44336E+01
-8.975520E-02,1.16959E+01,1.43164E+01
-8.975340E-02,1.16959E+01,1.44336E+01
-8.975160E-02,1.16959E+01,1.44336E+01
-8.974980E-02,1.16568E+01,1.45508E+01
-8.974800E-02,1.17545E+01,1.44336E+01
-8.974620E-02,1.17935E+01,1.44727E+01
-8.974440E-02,1.16763E+01,1.43945E+01
-8.974260E-02,1.16959E+01,1.43945E+01
-8.974080E-02,1.17545E+01,1.43164E+01
-8.973900E-02,1.17545E+01,1.42383E+01
-8.973720E-02,1.17154E+01,1.45508E+01
-8.973540E-02,1.16568E+01,1.46680E+01
-8.973360E-02,1.17349E+01,1.45117E+01
-8.973180E-02,1.17154E+01,1.45508E+01
-8.973000E-02,1.17545E+01,1.44336E+01
-8.972820E-02,1.17154E+01,1.45117E+01
-8.972640E-02,1.16959E+01,1.45898E+01
-8.972460E-02,1.16568E+01,1.45898E+01
-8.972280E-02,1.17740E+01,1.45898E+01
-8.972100E-02,1.17545E+01,1.44727E+01
-8.971920E-02,1.17154E+01,1.45508E+01
-8.971740E-02,1.17545E+01,1.45508E+01
-8.971560E-02,1.17154E+01,1.45508E+01
-8.971380E-02,1.17349E+01,1.45117E+01
-8.971200E-02,1.17349E+01,1.44336E+01
-8.971020E-02,1.17349E+01,1.45508E+01
-8.970840E-02,1.17154E+01,1.45508E+01
-8.970660E-02,1.17545E+01,1.46289E+01
-8.970480E-02,1.16959E+01,1.45117E+01
-8.970300E-02,1.16763E+01,1.45508E+01
-8.970120E-02,1.17349E+01,1.45508E+01
-8.969940E-02,1.17154E+01,1.45898E+01
-8.969760E-02,1.17349E+01,1.46289E+01
-8.969580E-02,1.17349E+01,1.45898E+01
-8.969400E-02,1.17545E+01,1.45117E+01
-8.969220E-02,1.17740E+01,1.44336E+01
-8.969040E-02,1.17154E+01,1.44336E+01
-8.968860E-02,1.17349E+01,1.44336E+01
-8.968680E-02,1.17349E+01,1.45117E+01
