in s,C1 in V,C2 in V
-6.000000E+00,7.51617E+00,8.37891E+00
-5.999880E+00,7.47711E+00,8.41797E+00
-5.999760E+00,7.49664E+00,8.30078E+00
-5.999640E+00,7.39898E+00,8.30078E+00
-5.999520E+00,7.41852E+00,8.26172E+00
-5.999400E+00,7.49664E+00,8.26172E+00
-5.999280E+00,7.45758E+00,8.37891E+00
-5.999160E+00,7.49664E+00,8.30078E+00
-5.999040E+00,7.47711E+00,8.06641E+00
-5.998920E+00,7.43805E+00,8.26172E+00
-5.998800E+00,7.43805E+00,8.18359E+00
-5.998680E+00,7.49664E+00,8.14453E+00
-5.998560E+00,7.55523E+00,8.14453E+00
-5.998440E+00,7.43805E+00,8.10547E+00
-5.998320E+00,7.47711E+00,8.10547E+00
-5.998200E+00,7.43805E+00,7.98828E+00
-5.998080E+00,7.47711E+00,8.02734E+00
-5.997960E+00,7.53570E+00,8.02734E+00
-5.997840E+00,7.49664E+00,7.91016E+00
-5.997720E+00,7.37945E+00,7.94922E+00
-5.997600E+00,7.49664E+00,7.87109E+00
-5.997480E+00,7.51617E+00,7.91016E+00
-5.997360E+00,7.43805E+00,7.98828E+00
-5.997240E+00,7.41852E+00,7.91016E+00
-5.997120E+00,7.47711E+00,7.98828E+00
-5.997000E+00,7.47711E+00,7.91016E+00
-5.996880E+00,7.45758E+00,7.94922E+00
-5.996760E+00,7.45758E+00,7.87109E+00
-5.996640E+00,7.45758E+00,7.91016E+00
-5.996520E+00,7.47711E+00,7.94922E+00
-5.996400E+00,7.49664E+00,8.02734E+00
-5.996280E+00,7.59430E+00,8.02734E+00
-5.996160E+00,7.47711E+00,7.87109E+00
-5.996040E+00,7.49664E+00,8.10547E+00
-5.995920E+00,7.43805E+00,8.02734E+00
-5.995800E+00,7.45758E+00,7.98828E+00
-5.995680E+00,7.47711E+00,7.98828E+00
-5.995560E+00,7.47711E+00,8.06641E+00
-5.995440E+00,7.45758E+00,8.18359E+00
-5.995320E+00,7.43805E+00,8.10547E+00
-5.995200E+00,7.43805E+00,8.06641E+00
-5.995080E+00,7.47711E+00,8.14453E+00
-5.994960E+00,7.45758E+00,8.18359E+00
-5.994840E+00,7.47711E+00,8.30078E+00
-5.994720E+00,7.55523E+00,8.30078E+00
-5.994600E+00,7.43805E+00,8.26172E+00
-5.994480E+00,7.47711E+00,8.26172E+00
-5.994360E+00,7.49664E+00,8.26172E+00
-5.994240E+00,7.45758E+00,8.33984E+00
-5.994120E+00,7.49664E+00,8.53516E+00
-5.994000E+00,7.45758E+00,8.49609E+00
-5.993880E+00,7.47711E+00,8.41797E+00
-5.993760E+00,7.39898E+00,8.53516E+00
-5.993640E+00,7.55523E+00,8.37891E+00
-5.993520E+00,7.43805E+00,8.30078E+00
-5.993400E+00,7.47711E+00,8.45703E+00
-5.993280E+00,7.43805E+00,8.41797E+00
-5.993160E+00,7.45758E+00,8.41797E+00
-5.993040E+00,7.43805E+00,8.57422E+00
-5.992920E+00,7.47711E+00,8.33984E+00
-5.992800E+00,7.45758E+00,8.45703E+00
-5.992680E+00,7.43805E+00,8.41797E+00
-5.992560E+00,7.41852E+00,8.45703E+00
