in s,C1 in V,C2 in V
-4.200000E+00,7.39898E+00,8.53516E+00
-4.199916E+00,7.37945E+00,8.41797E+00
-4.199832E+00,7.26227E+00,8.53516E+00
-4.199748E+00,7.32086E+00,8.49609E+00
-4.199664E+00,7.39898E+00,8.33984E+00
-4.199580E+00,7.28180E+00,8.41797E+00
-4.199496E+00,7.41852E+00,8.37891E+00
-4.199412E+00,7.26227E+00,8.53516E+00
-4.199328E+00,7.43805E+00,8.41797E+00
-4.199244E+00,7.41852E+00,8.41797E+00
-4.199160E+00,7.26227E+00,8.41797E+00
-4.199076E+00,7.34039E+00,8.33984E+00
-4.198992E+00,7.28180E+00,8.41797E+00
-4.198908E+00,7.35992E+00,8.33984E+00
-4.198824E+00,7.34039E+00,8.41797E+00
-4.198740E+00,7.35992E+00,8.41797E+00
-4.198656E+00,7.34039E+00,8.41797E+00
-4.198572E+00,7.37945E+00,8.37891E+00
-4.198488E+00,7.37945E+00,8.37891E+00
-4.198404E+00,7.34039E+00,8.45703E+00
-4.198320E+00,7.37945E+00,8.53516E+00
-4.198236E+00,7.35992E+00,8.41797E+00
-4.198152E+00,7.34039E+00,8.49609E+00
-4.198068E+00,7.34039E+00,8.45703E+00
-4.197984E+00,7.35992E+00,8.53516E+00
-4.197900E+00,7.35992E+00,8.41797E+00
-4.197816E+00,7.32086E+00,8.61328E+00
-4.197732E+00,7.37945E+00,8.53516E+00
-4.197648E+00,7.35992E+00,8.57422E+00
-4.197564E+00,7.39898E+00,8.53516E+00
-4.197480E+00,7.35992E+00,8.41797E+00
-4.197396E+00,7.28180E+00,8.61328E+00
-4.197312E+00,7.43805E+00,8.53516E+00
-4.197228E+00,7.37945E+00,8.53516E+00
-4.197144E+00,7.32086E+00,8.57422E+00
-4.197060E+00,7.35992E+00,8.65234E+00
-4.196976E+00,7.30133E+00,8.61328E+00
-4.196892E+00,7.28180E+00,8.69141E+00
-4.196808E+00,7.30133E+00,8.69141E+00
-4.196724E+00,7.39898E+00,8.65234E+00
-4.196640E+00,7.30133E+00,8.76953E+00
-4.196556E+00,7.35992E+00,8.73047E+00
-4.196472E+00,7.28180E+00,8.73047E+00
-4.196388E+00,7.32086E+00,8.80859E+00
-4.196304E+00,7.34039E+00,8.69141E+00
-4.196220E+00,7.34039E+00,8.73047E+00
-4.196136E+00,7.35992E+00,8.69141E+00
-4.196052E+00,7.41852E+00,8.88672E+00
-4.195968E+00,7.35992E+00,8.84766E+00
-4.195884E+00,7.37945E+00,8.80859E+00
-4.195800E+00,7.30133E+00,8.80859E+00
-4.195716E+00,7.34039E+00,8.84766E+00
-4.195632E+00,7.35992E+00,8.80859E+00
-4.195548E+00,7.37945E+00,8.96484E+00
-4.195464E+00,7.30133E+00,8.92578E+00
-4.195380E+00,7.30133E+00,8.80859E+00
-4.195296E+00,7.32086E+00,8.92578E+00
-4.195212E+00,7.34039E+00,8.92578E+00
-4.195128E+00,7.34039E+00,8.92578E+00
-4.195044E+00,7.35992E+00,8.92578E+00
-4.194960E+00,7.30133E+00,8.96484E+00
-4.194876E+00,7.37945E+00,8.96484E+00
-4.194792E+00,7.35992E+00,8.92578E+00
-4.194708E+00,7.41852E+00,8.96484E+00
-4.194624E+00,7.37945E+00,8.92578E+00
-4.194540E+00,7.35992E+00,8.92578E+00
-4.194456E+00,7.35992E+00,8.88672E+00
-4.194372E+00,7.22320E+00,8.92578E+00
-4.194288E+00,7.32086E+00,8.92578E+00
-4.194204E+00,7.37945E+00,8.92578E+00
-4.194120E+00,7.35992E+00,8.88672E+00
-4.194036E+00,7.34039E+00,8.92578E+00
-4.193952E+00,7.32086E+00,8.84766E+00
-4.193868E+00,7.39898E+00,8.88672E+00
-4.193784E+00,7.35992E+00,8.88672E+00
-4.193700E+00,7.32086E+00,8.84766E+00
-4.193616E+00,7.32086E+00,8.76953E+00
-4.193532E+00,7.41852E+00,8.61328E+00
-4.193448E+00,7.34039E+00,8.41797E+00
-4.193364E+00,7.39898E+00,8.37891E+00
-4.193280E+00,7.32086E+00,8.53516E+00
-4.193196E+00,7.37945E+00,8.61328E+00
-4.193112E+00,7.35992E+00,8.18359E+00
-4.193028E+00,7.35992E+00,8.57422E+00
-4.192944E+00,7.37945E+00,8.41797E+00
-4.192860E+00,7.39898E+00,8.49609E+00
-4.192776E+00,7.30133E+00,8.61328E+00
-4.192692E+00,7.30133E+00,8.33984E+00
-4.192608E+00,7.30133E+00,8.69141E+00
-4.192524E+00,7.35992E+00,8.53516E+00
-4.192440E+00,7.30133E+00,8.65234E+00
-4.192356E+00,7.35992E+00,8.45703E+00
-4.192272E+00,7.34039E+00,8.37891E+00
-4.192188E+00,7.35992E+00,8.33984E+00
-4.192104E+00,7.39898E+00,8.41797E+00
-4.192020E+00,7.35992E+00,8.30078E+00
-4.191936E+00,7.37945E+00,8.41797E+00
-4.191852E+00,7.35992E+00,8.45703E+00
-4.191768E+00,7.39898E+00,8.33984E+00
-4.191684E+00,7.32086E+00,8.33984E+00
-4.191600E+00,7.35992E+00,8.30078E+00
-4.191516E+00,7.32086E+00,8.37891E+00
-4.191432E+00,7.28180E+00,8.41797E+00
-4.191348E+00,7.28180E+00,8.33984E+00
