in s,C1 in V,C2 in V
-2.393904E+00,7.57477E+00,8.76953E+00
-2.393856E+00,7.59430E+00,8.69141E+00
-2.393808E+00,7.57477E+00,8.84766E+00
-2.393760E+00,7.57477E+00,8.80859E+00
-2.393712E+00,7.51617E+00,8.61328E+00
-2.393664E+00,7.61383E+00,8.73047E+00
-2.393616E+00,7.59430E+00,8.41797E+00
-2.393568E+00,7.59430E+00,8.41797E+00
-2.393520E+00,7.57477E+00,8.37891E+00
-2.393472E+00,7.57477E+00,8.45703E+00
-2.393424E+00,7.57477E+00,8.53516E+00
-2.393376E+00,7.59430E+00,8.49609E+00
-2.393328E+00,7.57477E+00,8.53516E+00
-2.393280E+00,7.57477E+00,8.65234E+00
-2.393232E+00,7.55523E+00,8.57422E+00
-2.393184E+00,7.53570E+00,8.41797E+00
-2.393136E+00,7.57477E+00,8.37891E+00
-2.393088E+00,7.59430E+00,8.61328E+00
-2.393040E+00,7.57477E+00,8.41797E+00
-2.392992E+00,7.55523E+00,8.45703E+00
-2.392944E+00,7.57477E+00,8.45703E+00
-2.392896E+00,7.57477E+00,8.45703E+00
-2.392848E+00,7.53570E+00,8.53516E+00
-2.392800E+00,7.57477E+00,8.53516E+00
-2.392752E+00,7.51617E+00,8.33984E+00
-2.392704E+00,7.53570E+00,8.41797E+00
-2.392656E+00,7.53570E+00,8.41797E+00
-2.392608E+00,7.49664E+00,8.30078E+00
-2.392560E+00,7.51617E+00,8.37891E+00
-2.392512E+00,7.53570E+00,8.41797E+00
-2.392464E+00,7.55523E+00,8.33984E+00
-2.392416E+00,7.61383E+00,8.33984E+00
-2.392368E+00,7.57477E+00,8.26172E+00
-2.392320E+00,7.49664E+00,8.33984E+00
-2.392272E+00,7.57477E+00,8.26172E+00
-2.392224E+00,7.53570E+00,8.26172E+00
-2.392176E+00,7.55523E+00,8.22266E+00
-2.392128E+00,7.55523E+00,8.33984E+00
-2.392080E+00,7.53570E+00,8.30078E+00
-2.392032E+00,7.53570E+00,8.26172E+00
-2.391984E+00,7.53570E+00,8.26172E+00
-2.391936E+00,7.49664E+00,8.33984E+00
-2.391888E+00,7.53570E+00,8.30078E+00
-2.391840E+00,7.55523E+00,8.26172E+00
-2.391792E+00,7.49664E+00,8.18359E+00
-2.391744E+00,7.57477E+00,8.26172E+00
-2.391696E+00,7.57477E+00,8.22266E+00
-2.391648E+00,7.55523E+00,8.22266E+00
-2.391600E+00,7.55523E+00,8.30078E+00
-2.391552E+00,7.57477E+00,8.26172E+00
-2.391504E+00,7.57477E+00,8.22266E+00
-2.391456E+00,7.57477E+00,8.33984E+00
-2.391408E+00,7.57477E+00,8.10547E+00
-2.391360E+00,7.53570E+00,8.26172E+00
-2.391312E+00,7.55523E+00,8.14453E+00
-2.391264E+00,7.59430E+00,8.26172E+00
-2.391216E+00,7.57477E+00,8.18359E+00
-2.391168E+00,7.55523E+00,8.18359E+00
-2.391120E+00,7.53570E+00,8.26172E+00
-2.391072E+00,7.63336E+00,8.26172E+00
-2.391024E+00,7.63336E+00,8.06641E+00
-2.390976E+00,7.65289E+00,8.30078E+00
-2.390928E+00,7.63336E+00,8.26172E+00
-2.390880E+00,7.55523E+00,8.18359E+00
-2.390832E+00,7.55523E+00,8.26172E+00
-2.390784E+00,7.43805E+00,8.37891E+00
-2.390736E+00,7.67242E+00,8.22266E+00
-2.390688E+00,7.63336E+00,8.33984E+00
-2.390640E+00,7.53570E+00,8.26172E+00
-2.390592E+00,7.71148E+00,8.30078E+00
-2.390544E+00,7.55523E+00,8.30078E+00
-2.390496E+00,7.57477E+00,8.26172E+00
-2.390448E+00,7.59430E+00,8.37891E+00
-2.390400E+00,7.63336E+00,8.30078E+00
-2.390352E+00,7.61383E+00,8.33984E+00
-2.390304E+00,7.53570E+00,8.33984E+00
-2.390256E+00,7.55523E+00,8.30078E+00
-2.390208E+00,7.53570E+00,8.33984E+00
-2.390160E+00,7.49664E+00,8.26172E+00
-2.390112E+00,7.57477E+00,8.53516E+00
-2.390064E+00,7.65289E+00,8.30078E+00
-2.390016E+00,7.57477E+00,8.49609E+00
-2.389968E+00,7.61383E+00,8.33984E+00
-2.389920E+00,7.61383E+00,8.53516E+00
-2.389872E+00,7.57477E+00,8.41797E+00
-2.389824E+00,7.57477E+00,8.49609E+00
-2.389776E+00,7.57477E+00,8.41797E+00
-2.389728E+00,7.57477E+00,8.45703E+00
-2.389680E+00,7.59430E+00,8.49609E+00
-2.389632E+00,7.57477E+00,8.53516E+00
-2.389584E+00,7.59430E+00,8.53516E+00
-2.389536E+00,7.63336E+00,8.49609E+00
-2.389488E+00,7.63336E+00,8.57422E+00
-2.389440E+00,7.55523E+00,8.53516E+00
-2.389392E+00,7.57477E+00,8.61328E+00
-2.389344E+00,7.53570E+00,8.57422E+00
-2.389296E+00,7.63336E+00,8.65234E+00
-2.389248E+00,7.63336E+00,8.57422E+00
-2.389200E+00,7.63336E+00,8.53516E+00
-2.389152E+00,7.57477E+00,8.61328E+00
-2.389104E+00,7.59430E+00,8.61328E+00
-2.389056E+00,7.57477E+00,8.57422E+00
-2.389008E+00,7.51617E+00,8.69141E+00
-2.388960E+00,7.53570E+00,8.69141E+00
-2.388912E+00,7.63336E+00,8.65234E+00
-2.388864E+00,7.59430E+00,8.53516E+00
-2.388816E+00,7.57477E+00,8.61328E+00
-2.388768E+00,7.57477E+00,8.61328E+00
-2.388720E+00,7.57477E+00,8.69141E+00
-2.388672E+00,7.53570E+00,8.69141E+00
-2.388624E+00,7.53570E+00,8.61328E+00
-2.388576E+00,7.57477E+00,8.65234E+00
-2.388528E+00,7.65289E+00,8.73047E+00
-2.388480E+00,7.45758E+00,8.76953E+00
-2.388432E+00,7.67242E+00,8.76953E+00
-2.388384E+00,7.57477E+00,8.69141E+00
-2.388336E+00,7.63336E+00,8.84766E+00
-2.388288E+00,7.63336E+00,8.76953E+00
-2.388240E+00,7.55523E+00,8.69141E+00
-2.388192E+00,7.59430E+00,8.69141E+00
-2.388144E+00,7.53570E+00,8.69141E+00
-2.388096E+00,7.61383E+00,8.73047E+00
-2.388048E+00,7.57477E+00,8.69141E+00
-2.388000E+00,7.59430E+00,8.80859E+00
-2.387952E+00,7.55523E+00,8.80859E+00
-2.387904E+00,7.61383E+00,8.69141E+00
-2.387856E+00,7.67242E+00,8.80859E+00
-2.387808E+00,7.63336E+00,8.73047E+00
-2.387760E+00,7.57477E+00,8.80859E+00
-2.387712E+00,7.61383E+00,8.88672E+00
-2.387664E+00,7.57477E+00,8.84766E+00
-2.387616E+00,7.63336E+00,8.80859E+00
-2.387568E+00,7.67242E+00,8.73047E+00
-2.387520E+00,7.61383E+00,8.76953E+00
-2.387472E+00,7.59430E+00,8.92578E+00
-2.387424E+00,7.65289E+00,8.80859E+00
-2.387376E+00,7.55523E+00,8.80859E+00
-2.387328E+00,7.63336E+00,8.84766E+00
-2.387280E+00,7.57477E+00,8.84766E+00
-2.387232E+00,7.57477E+00,8.92578E+00
-2.387184E+00,7.57477E+00,8.84766E+00
-2.387136E+00,7.57477E+00,8.92578E+00
-2.387088E+00,7.57477E+00,8.92578E+00
-2.387040E+00,7.57477E+00,8.92578E+00
-2.386992E+00,7.61383E+00,8.84766E+00
-2.386944E+00,7.59430E+00,8.84766E+00
-2.386896E+00,7.65289E+00,8.84766E+00
-2.386848E+00,7.57477E+00,8.80859E+00
-2.386800E+00,7.55523E+00,8.80859E+00
-2.386752E+00,7.59430E+00,8.76953E+00
-2.386704E+00,7.63336E+00,8.80859E+00
-2.386656E+00,7.55523E+00,8.80859E+00
-2.386608E+00,7.63336E+00,8.76953E+00
-2.386560E+00,7.63336E+00,8.80859E+00
-2.386512E+00,7.63336E+00,8.80859E+00
-2.386464E+00,7.55523E+00,8.84766E+00
-2.386416E+00,7.63336E+00,8.80859E+00
-2.386368E+00,7.67242E+00,8.84766E+00
-2.386320E+00,7.63336E+00,8.76953E+00
-2.386272E+00,7.57477E+00,8.80859E+00
-2.386224E+00,7.59430E+00,8.69141E+00
-2.386176E+00,7.53570E+00,8.65234E+00
-2.386128E+00,7.61383E+00,8.80859E+00
-2.386080E+00,7.57477E+00,8.80859E+00
-2.386032E+00,7.63336E+00,8.80859E+00
-2.385984E+00,7.59430E+00,8.76953E+00
-2.385936E+00,7.61383E+00,8.69141E+00
-2.385888E+00,7.65289E+00,8.65234E+00
-2.385840E+00,7.63336E+00,8.61328E+00
-2.385792E+00,7.53570E+00,8.84766E+00
-2.385744E+00,7.59430E+00,8.53516E+00
-2.385696E+00,7.63336E+00,8.53516E+00
-2.385648E+00,7.55523E+00,8.53516E+00
-2.385600E+00,7.67242E+00,8.65234E+00
-2.385552E+00,7.57477E+00,8.61328E+00
-2.385504E+00,7.57477E+00,8.53516E+00
-2.385456E+00,7.57477E+00,8.65234E+00
-2.385408E+00,7.63336E+00,8.45703E+00
-2.385360E+00,7.61383E+00,8.65234E+00
-2.385312E+00,7.59430E+00,8.53516E+00
-2.385264E+00,7.63336E+00,8.45703E+00
-2.385216E+00,7.63336E+00,8.37891E+00
-2.385168E+00,7.63336E+00,8.65234E+00
-2.385120E+00,7.59430E+00,8.41797E+00
-2.385072E+00,7.57477E+00,8.37891E+00
-2.385024E+00,7.61383E+00,8.53516E+00
-2.384976E+00,7.63336E+00,8.37891E+00
-2.384928E+00,7.61383E+00,8.37891E+00
-2.384880E+00,7.65289E+00,8.37891E+00
-2.384832E+00,7.63336E+00,8.30078E+00
-2.384784E+00,7.61383E+00,8.37891E+00
-2.384736E+00,7.65289E+00,8.37891E+00
-2.384688E+00,7.57477E+00,8.37891E+00
-2.384640E+00,7.57477E+00,8.41797E+00
-2.384592E+00,7.61383E+00,8.49609E+00
-2.384544E+00,7.57477E+00,8.37891E+00
-2.384496E+00,7.57477E+00,8.30078E+00
-2.384448E+00,7.57477E+00,8.26172E+00
-2.384400E+00,7.57477E+00,8.37891E+00
-2.384352E+00,7.57477E+00,8.45703E+00
-2.384304E+00,7.57477E+00,8.33984E+00
-2.384256E+00,7.57477E+00,8.37891E+00
-2.384208E+00,7.63336E+00,8.26172E+00
-2.384160E+00,7.63336E+00,8.41797E+00
-2.384112E+00,7.59430E+00,8.33984E+00
-2.384064E+00,7.65289E+00,8.30078E+00
-2.384016E+00,7.61383E+00,8.45703E+00
-2.383968E+00,7.59430E+00,8.26172E+00
-2.383920E+00,7.63336E+00,8.26172E+00
-2.383872E+00,7.57477E+00,8.33984E+00
-2.383824E+00,7.59430E+00,8.26172E+00
-2.383776E+00,7.57477E+00,8.33984E+00
-2.383728E+00,7.57477E+00,8.37891E+00
-2.383680E+00,7.63336E+00,8.26172E+00
-2.383632E+00,7.59430E+00,8.45703E+00
-2.383584E+00,7.63336E+00,8.26172E+00
-2.383536E+00,7.55523E+00,8.26172E+00
-2.383488E+00,7.59430E+00,8.41797E+00
-2.383440E+00,7.51617E+00,8.33984E+00
-2.383392E+00,7.59430E+00,8.37891E+00
-2.383344E+00,7.55523E+00,8.37891E+00
-2.383296E+00,7.59430E+00,8.37891E+00
-2.383248E+00,7.55523E+00,8.30078E+00
-2.383200E+00,7.57477E+00,8.49609E+00
-2.383152E+00,7.51617E+00,8.18359E+00
-2.383104E+00,7.63336E+00,8.18359E+00
-2.383056E+00,7.59430E+00,8.26172E+00
-2.383008E+00,7.57477E+00,8.22266E+00
-2.382960E+00,7.51617E+00,8.22266E+00
-2.382912E+00,7.73102E+00,8.26172E+00
-2.382864E+00,7.59430E+00,8.37891E+00
-2.382816E+00,7.63336E+00,8.26172E+00
-2.382768E+00,7.65289E+00,8.14453E+00
-2.382720E+00,7.63336E+00,8.26172E+00
